tx_a,tx_b,approximation,overall,comment
0x00bbcd8c40fe87eaba0c3bcc978a616d5f40a05734a22bf9b0cc9dbf95c59fb0,0x09cdb2dd96bd52e8083416ac6e6b9c07bece318f133c92507b6245d494a5ea7d,TOD,not TOD,balancing
0x08264da79678d1820d53e887481f2955890320b82eab8a2638b7c8633d7f5a53,0xf339d3de5c7b6e6518a32bb45d4606ea3c3cc6d040b856986f9bb09131ac91b5,TOD,not TOD,mirrored
0x0b6fb4e1c017e14618908205cdc78536e089bf4ea9e5d944ce00d46667a60f1c,0x8ebc6d625334cd3513005886f96df056021a86e732fff6bb07e81b02a1fcef85,not TOD,TOD,A no changes after B
0x0c8c62eaf3750a92174c0746dbcb71352abd9b0e19b7b2a56b1558f106fcb184,0x484aeddd7bc2a120112b582b5338c2d0171a561b576cda9b21656fa9e81860c9,TOD,not TOD,balancing
0x0a41db7b5f2f4884e506419c35cffa4199ee77f4d5f9b80d2a6cd7da9a00bd92,0x265e1b80ce78c6e9ee71b7f88eb5b0a0e2ab0eb37d518761490e07aa289aa50c,TOD,not TOD,mirrored
0x0a7edace6bcb74ef232d000ad435d514dd67c6163813eb0213adfa988f844386,0xdbb4e3e1f74788acec6a1fb631fc921ba71fe5ff609534cff99a24ec39cac36c,TOD,not TOD,mirrored
0x10391af3ba04562c6dbe1b83b2920fac1d60dd31956008054729581e8e51e1f0,0x073e991104c566c819f9c3cf756a9717a2f50b2bb3c307b001cc6c0c5072ec5b,TOD,replay diverged,
0x19819fc9eea3d0e9d14cb89963f32ccea698cf6eeee16cde45fcb37de0b9b53a,0x3fdc1b36bc60f034dd688f2a1490f8eced2f0810c532c9ecdee7bf3dd4256329,not TOD,TOD,only A has changes
0x25084a8f6c54d56425619f69b0d93abe12e1a06488016797f84df90f29ef6631,0x29e4279e53152c5998a072bfa87554a7e8529df46c9e60a5cefa1d7da143c8ee,not TOD,TOD,A no changes after B
0x29e4279e53152c5998a072bfa87554a7e8529df46c9e60a5cefa1d7da143c8ee,0x2940b805976812ebb7af0fdea45940057ae192e02483263687abcc5d3aec331f,TOD,not TOD,mirrored
0x308d3568d31e4881393ed5687725c38b7e201a5dafa1977cd72a2a37afcd6154,0x2ec0d7f5f7a4fbb48a3d80e886a36382c1b425d23759c515dc18ff9fb0dcd94f,TOD,not TOD,mirrored
0x31b45981915bc36cdc752c60aa00de20021d70dbf82ea6fa93b8b64a82e7ab6e,0xfb71cf4400864c69dcda9003d2b51ffa47aaa02c3e88637f4835b800e4a660a2,TOD,not TOD,mirrored
0x31f309e0d5ea5a413befede8b12083638026dea3a748ff542a903d7fcf4c76d0,0x29648d6d808997911ff116eb2ca8c98b0ef6c3b145911f00cb38e93b3be25ae5,not TOD,replay diverged,
0x331b050b19fdbffb6798f1da632599e366243496a67b31c5229f13efd1c1009d,0xdb830e3937d8065ab42391c975f5ed06b8a2381b647b080835527c9e68812f5c,TOD,not TOD,balancing
0x349768aed1a125363e9cc4fe48d4845cf688f95f6655f188a032ab1033f98671,0x3f9d49a355ad55be46821933f22f4080acbfb2066252033bfdc4b332e782b98c,TOD,not TOD,mirrored
0x3f44d49f0517569755848cd8eeed3d1f97d5045531788aabb570f2601c6b5d88,0xe22140215b4d3cb1a911325776c9cff362b89d335c9e230d2ee3226054f743b5,error,TOD,
0x42964ccf216e2af91ac6b1fc564c90bb1a1113d7a31c4d09864891632daf7caf,0x146794202fe1c79a16e21bd17164771087dea46aea65e43dba4c5e6210bcee01,not TOD,TOD,only A has changes
0x4241e1c622f0050e7ad318463e6d3370be20f94921f1cd988f1599e7dc6040c7,0x9ec723c2f7a1e533b170629e3bbcb6a157e7a068693e85f6ac4317eed825592b,TOD,not TOD,mirrored
0x480e8b299da198acd5e9af3b977e3bddf0aa39653a9aba5e136e1bb2368b0f26,0x4753fbad0bd23e3ba27544e39aa7cab1ed9169630c6288a7b77c690950b29cf8,not TOD,TOD,only A has changes
0x490a377d4f05d384e0b4822f33407270165eeb05214f4eff9b7c83a9e1e140e2,0xbfc5e42c5eb77b4cb6cc8ac94b2d6da989b4bee761d63fbdd485c92b29f01c21,TOD,replay diverged,
0x4f81fe4c02f5d23cdc76fae95830a7410c275c544b07e14ca793ec2d9086598d,0x01407d284c7d5232412ec2ced4aef778c7af104bfc71850bb489120d89ba802c,TOD,replay diverged,
0x55f36c68a6021e8cb382bf135611c7407e86b0b3ffafc89d49b181d04182800e,0x6310532f7baa0e7a2919d50305895c6b084a34e4c3ce2c38573c7d3a74be7d7d,not TOD,replay diverged,
0x5985c52e0fc42abe3f006627f2dd3406a4090594920895b4e9b41d03d545b56e,0xc564ee5e123fd4c5ec666e8e78c76ac9692901abc6ce34fbb89c354cd3d04fe6,TOD,not TOD,mirrored
0x5aa39f4ff79f6653fdb0165a92fcb55e024ae8d5b8dba67c0b6e4c153ea4a8d4,0x1f096fb072eca4717068f1ec12195a7443f3500b134591796c3ba7dcdaebc8ca,TOD,not TOD,balancing
0x5e1f0fe4494e8756d100cf69f4c2fc5f73ccaf45ca950713b0e6a5a3d576ba0c,0x78c54568d50da11ef36a43ac593a51f89e10f7e78f91134d26acbf9d9fe5b1d8,TOD,replay diverged,
0x5f487b970ecbceaf067500d053ed635968609ea7810a9ac2b84ffd6e3a2daad2,0xfb27e3336fc039c45fe03e0ce55bc10c454de4b04c00ce887a6acfb5038e2020,TOD,replay diverged,
0x640918418364afe65a71a7c87f1ed51c635f12d1e46d14831cffc09e4637d366,0x7148de629990d9fec018a46adc3c4322a7af9339332e483215a849643cbff900,TOD,not TOD,mirrored
0x668734c68a7f398feed75ad844c7e437a728f7d47c3cc6f2b9ae058749e5b181,0x2d9ea6290ff6f9d886c4d2b4ef5bef7f7f77516fb509457a016d9cf9a7216061,TOD,not TOD,mirrored
0x68f7cb1fea8e834fd348b9ac2ff996b9161e756e57aa67068cec4500c524a533,0x423f2f76e7ba82e167cabae613044f3ae75e586ebfee4e63ca22b51819aaaec1,TOD,not TOD,mirrored
0x6c67a1bb9d21d8c6870916b11e439488bd75883885c8d4953dac8fcf52cc49e4,0xa35dcb895f37a4d54d0fee74af26443299c22bb19819d217d596149743b34290,TOD,not TOD,mirrored
0x76f0fd93d3df3f12d2c3f924daca81431ac66341e41b647ad62c53c81256f8a1,0x4110145aa9cee10fba7496607258e93d90fbf0cb21d19c3c2adda5efa3e149f6,TOD,not TOD,balancing
0x7b0a9eee40f7a4efb8caaf6ab477271cd1f1fe4a46733f1f0745148c4e045f51,0x2bb127918d34e3a4effa06643b58838cf5ce64587cce1b096492915a0b82bd25,TOD,not TOD,mirrored
0x7eafae687e3d982f3822ab3088cd1a99ef557f7a38cf8d9e65a9ae9dc4f311ec,0xd0944745038bda6c3ce7aee5d3322a39f588a95319c42175e846c216f7ddc32a,TOD,replay diverged,
0x7e40228f8ec1265ca3536f8b6eaf69253344c795eaaa011359cfceef30b61e1a,0xbac3ae768b97e691f7d6d1e96c54b328adcdae7509cb23b0afac9d6dc369e814,TOD,not TOD,mirrored
0x7e5393d7aa86373bdf3ea55d554640494b5b32557fa038d5de046a71891c92dd,0x3d84bcda72f0d8e00492d7bbcaecee21974a95dfc9856d0d40842a9a0fdc9c89,TOD,not TOD,mirrored
0x8587937be392ddd92a32907394d6a0829e125ce3bce3a0f6067cb58acc7b88ae,0xa6d8297c57af84ac876ebdbefb279c3721b06c749d1dab868122a4a6a1d7d05d,TOD,not TOD,mirrored
0x90d181109f2930f6412d0f72ae07f8ad47ae540415c4410214d5d63292209c72,0xd55992178e03e575cb986c791a35607435e152ecb783c10a808dc2b9b2de2d7d,not TOD,replay diverged,
0x9a13b95d41558af1d87f7d157525399509bdc13f87d83085b3a61795dc316f1a,0x6220c1441fed4ecb58c564acce46e0016b2713bbf25bdd909d26cf2cc7903530,TOD,not TOD,mirrored
0x9d14d10d033073c7b938505d93e0be5005ade0b52818c7939eec16870d8d6690,0xdd7fb0060ab0a608792c2b6cba8d3995fa8652ee92f5d1aa7f06264046be5f97,TOD,not TOD,mirrored
0xa234b6e8115eca8a52c009fa661c3a6c7b58dfbb1d866932a3cceb9bb2d4c7b9,0x061eef97d92adbbfff056406bae4882cd048bc42d0556e586dde0d604e2a3741,TOD,not TOD,balancing
0xa291b45376f0f781962615d1d1bb41c94989e1e3da0aba52e03129d477413694,0x54e33b01f78a083c79835427514f8fcee1176110831969ad4f57e6d46a86b13c,TOD,replay diverged,
0xa47be2718a95b6665e55eb3fcd319ead699992a4ba4d9b7a435cc3fdcf45a6ed,0x9bca2eb92469735c9b8efba875fa2732cae65c03a478f4713329fe6ad96a5500,not TOD,TOD,only A has changes
0xa723f53edcae821203572a773b8f1b5cf5c008a734794ee2acae771540363f11,0x5aa39f4ff79f6653fdb0165a92fcb55e024ae8d5b8dba67c0b6e4c153ea4a8d4,TOD,not TOD,mirrored
0xa9c72724d4b7461842ebfd61521b1d93399952c3d59ba34b0cb528eff9d71465,0x952870a838d6129caeb50ca9c7b97c9a2c6f90cdebd67d2c9dab1994d833fe23,TOD,not TOD,mirrored
0xb4d6d368a1b07581c5b4508ea8a4cd2c1e1e77c01e95fd0dc2037c2ecfa48af9,0xf1512f5fe2e738d0b3c0f0022ddccd274f2c39917219c33312934dc5493f5b58,TOD,not TOD,mirrored
0xb539d55099715a24dcd3642aa2eb89a99d45f5899e66b29fc4aebe18db2ddc1c,0x135bd93ec7d9841d996400bc90ebd612d01940da3cc3a263f4e2d0cfe564108e,TOD,not TOD,balancing
0xbb2ed3fb370c148ecba5805fe41f199e0da0ac25f6d510c8a7579876c7136d6c,0x5ee7d73562310b5eb86b5d914af10f69165916e39e2adf309dbe6679541974f8,TOD,not TOD,balancing
0xc35ef3d7af22daaa9d4d57ad61667043cf853ed0d3e13b9f6d8bd4b99af69643,0xe3df06b33e6dee092103c7671726c11ac9512a7cf89620d4300601b11d271057,not TOD,replay diverged,
0xd5113f52af65e10ed2880a7d9bd4c7f0f681fa17417c20657ce0bdbbf62baba3,0x7390001bb725f4e9b78ffb703df0857095aed59ed884875527c350e42900f040,TOD,not TOD,mirrored
0xd70abd57856198f62ae5f84095e875ce0251a068ac24c143e1496058bb924cf0,0x0368063863a25267ca624df8b5c4f18bffc0b4fa27d60ba24cf44ddd0c3277a3,TOD,replay diverged,
0xd93fbf3c0182fee64f16cfcaec7e70e4fdf13a58b285866c24158eedde47609e,0x3322fcbe3e67b0e1599f50abe5b0d5e4d5b44e03449d0b3acffe76256e6a3722,not TOD,TOD,A no changes after B
0xd55d59ed8932df45b9170cd6bda5c9451ba8df8401290e3785e06eb96be42d24,0x9d14d10d033073c7b938505d93e0be5005ade0b52818c7939eec16870d8d6690,TOD,not TOD,mirrored
0xdbb4e3e1f74788acec6a1fb631fc921ba71fe5ff609534cff99a24ec39cac36c,0x69a74b75c8da9ed3148b96e29bce218cf5c6512691109348be8ce4517983dd4a,TOD,not TOD,mirrored
0xdd6d78061f18eb176eb4f1b115367709f78ae1b4a5c9da5824840544a4f79510,0xde6b552d37fbd10a21d3b80b24027ba87a8110ce5883afbba0924d479eeeb14e,TOD,not TOD,balancing
0xe7f234489c116e10bb6ec943d61198977787a5ca77393bfeac6fdbb5d38ebaaa,0x1c932ff451aef9e607a0f891340eda90ce67edb89ccc72bc0d1f9f0dab5a9865,TOD,replay diverged,
0xec3693e3fccd2c15ebcac746f123bd2f88e6df30dc79a67851b54759dbf89d68,0x3a4eed20fa1a18fd4fe12df106984bd0fb551db616692a4edbbb29270ceff17e,TOD,replay diverged,
0xf2e3b18cc130b90d9a831a60872815603a69cb1233517d6a0abc75917abdaf5e,0x230042b9150a6b254a036814e04b24305fa3e1f1c72eff683ee5b53963092426,TOD,replay diverged,
0xf70aa22bbe0d58b2ae876c4e288805ef00246270be31aef6ad05d78c8b3b789e,0x2904e35fa0c527814402cf1fab98757c4f60765c5bc037e24cd3f6ce7221d57f,not TOD,TOD,only A has changes
0xfb71cf4400864c69dcda9003d2b51ffa47aaa02c3e88637f4835b800e4a660a2,0x938f5b96e9e820ae39c36715d45f06e16dcb23c287fd18f925a81f503d9d61d5,not TOD,TOD,only A has changes
0xfb57ca562885c2a19dca4a48780714bbf2abeb56317d43251af9c5c018bed897,0x5424e969889522b53f8803d065faeacb7e68b31fd1ec20e7770abea550c4e22e,not TOD,TOD,only A has changes